,Unnamed: 0,BBBID,BusinessID,BusinessName,StreetAddress,StreetAddress2,City,StateProvince,PostalCode,Country,Phone,Email,Website,TOBID,TOBDescription,DateBusinessStarted,DateBusinessClosed,IsBBBAccredited,BBBRatingGrade,BBBRatingScore,NumberOfEmployees,NumberOfPartTimeEmployees,IsHQ,SizeOfBusiness,IsCharity,CDWLastUpdate,FoundVia,status_code,manually_checked
0,1971,704,1000002940,Kapala Glodek Funeral Chapels,7800 Bass Lake Rd,,New Hope,MN,55428.0,USA,7635354112.0,,https://everloved.com/funeral-homes/MN/new-hope/kapala-glodek-malone-funeral-home-new-hope-mn-55428/,62000-000,Funeral Homes,,,False,A+,100.0,1.0,0.0,False,Micro-small,False,2/2/23 8:52,Search,200,0
1,1972,704,1000001695,Amundson's Window Cleaning,520 6th Ave S,,South Saint Paul,MN,55075.0,USA,6512482321.0,,https://www.amundsonwindowcleaning.com/,60954-000,Window Cleaning,1/1/07 0:00,5/27/16 0:00,False,NR,0.0,1.0,,False,Micro-small,False,6/22/21 4:12,Search,200,1
2,1973,704,1000000146,Jlf Homes,5145 Industrial St # 1,,Maple Plain,MN,55359.0,USA,7634790795.0,,https://www.facebook.com/jlf.homebuilders/,10035-000,Contractors - General,5/3/05 0:00,,False,NR,0.0,3.0,0.0,False,Micro-small,False,4/16/22 8:14,Search,200,0
3,1974,704,1000005458,Pearl Lawn Care,594 Sunwood Park Dr,,Waite Park,MN,56387.0,USA,3202233363.0,,https://lawn-services.cmac.ws/pearl-lawn-care/50283/,00157-000,Lawn Maintenance,1/11/13 0:00,2/4/20 0:00,False,NR,0.0,1.0,0.0,False,Micro-small,False,2/6/23 8:28,Search,200,0
4,1975,704,1000005434,Building Modern Homes,7725 74th St S,,Cottage Grove,MN,55016.0,USA,7637970456.0,,https://www.houzz.com/professionals/home-builders/cottage-grove-mn-us-probr0-bo~t_11823~r_5022134,10177-000,Construction & Remodeling Services,10/4/07 0:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,3/16/21 4:00,Search,200,0
5,1976,704,1000002918,Franklin Labels,200 State Highway 19,,Franklin,MN,55333.0,USA,5075572294.0,,http://www.franklinpackaging.com/,30326-000,"Laminations - Plastic, Paper",1/1/99 0:00,,False,NR,0.0,8.0,0.0,False,Micro-small,False,3/10/21 4:42,Search,200,1
6,1977,704,1000002830,Heartland Machine & Tool Inc,1737 SE 13th St,,Brainerd,MN,56401.0,USA,2188298508.0,,http://www.heartlandmt.com/,85278-000,Metal Fabricators,6/7/00 0:00,,False,NR,0.0,6.0,0.0,False,Micro-small,False,10/16/22 8:03,Search,200,1
7,1978,704,1000005888,Addicott Construction,8094 60th St NW,,Belden,ND,58784.0,USA,7016290606.0,,https://www.superpages.com/palermo-nd/roofing-contractors,10126-000,Roofing Contractors,4/23/08 0:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,1/2/23 8:49,Search,200,0
8,1979,704,1000004759,Eastside Liquor,2314 Hendrickson Rd,,Albert Lea,MN,56007.0,USA,5073772773.0,,https://business.albertlea.org/list/member/eastside-liquor-albert-lea-4106,50399-000,Liquor Stores,3/2/11 0:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,1/10/23 8:49,Search,200,0
9,1980,704,1000005822,B2C Construction LLC,886 Rose Ave E,,Saint Paul,MN,55106.0,USA,6517958796.0,,https://www.facebook.com/people/B2C-Construction-LLC/100063848341175/,10035-000,Contractors - General,6/17/08 0:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,12/30/22 8:56,Search,200,0
10,1981,704,1000004808,Ecco Painting,5595 Hurron St SE ,,Prior Lake,MN,55372.0,USA,6124434061.0,,https://www.whodoyou.com/biz/1313950/ecco-painting-mn-prior-lake-mn,10095-300,Painters - Commercial or Residential,2/8/16 0:00,7/1/19 0:00,False,NR,0.0,1.0,0.0,False,Micro-small,False,7/8/22 12:28,Search,200,0
11,1982,704,1000004772,Rental Resolutions,6066 Shingle Creek Pkwy # 304,,Brooklyn Ctr,MN,55430.0,USA,7637727417.0,,https://www.ci.brooklyn-center.mn.us/government/departments/community-development/rental-program?locale=en,60733-000,Real Estate Rental Service,3/25/16 0:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,2/9/22 9:42,Search,200,0
12,1983,704,1000006752,Grippers Sports,408 Dakota Ave,,Wahpeton,ND,58075.0,USA,7016422044.0,,https://www.facebook.com/Grippers5/,50608-000,Sporting Goods - Retail,11/5/10 0:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,1/22/20 5:34,Search,200,0
13,1984,704,1000005890,Discount Mattresses,803 18th Ave NW,,Austin,MN,55912.0,USA,5073968288.0,,https://www.austinmattress.com/,50419-000,Mattresses,10/3/16 0:00,3/26/18 0:00,False,NR,0.0,1.0,0.0,False,Micro-small,False,3/30/21 3:56,Search,200,1
14,1985,704,1000001513,Rick's Car Cleaning & Detailing,163 4th St S,,Winsted,MN,55395.0,USA,3204854269.0,,https://car-washes.cmac.ws/ricks-car-cleaning-detailing/18623/,60180-000,Car Wash & Polish,1/1/97 0:00,5/12/16 0:00,False,NR,0.0,1.0,,False,Micro-small,False,5/13/19 4:10,Search,200,0
15,1986,704,1000005355,"HardStone Concrete, Incorporated",7074 44th St N,,Oakdale,MN,55128.0,USA,6514892200.0,,https://www.dexknows.com/oakdale-mn/bp/hardstone-concrete-incorporated-452627874,10032-000,Concrete Contractors,4/15/09 0:00,5/4/21 0:00,False,NR,0.0,1.0,0.0,False,Micro-small,False,5/6/21 4:18,Search,200,0
16,1987,704,1000005552,Scoops Liquor,121 Swan St,,Le Sueur,MN,56058.0,USA,5076652206.0,,https://m.facebook.com/profile.php?id=149721245053322,50399-000,Liquor Stores,12/18/78 0:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,12/26/22 8:45,Search,200,0
17,1988,704,1000000045,Commercial Millwork Solutions,15051 Biscayne Ave W,,Rosemount,MN,55068.0,USA,6513227968.0,,https://www.visualvisitor.com/companies/4817014/commercial-millwork-solutions-inc.,30401-000,Millwork,,,False,NR,0.0,20.0,0.0,False,Small,False,1/31/23 8:46,Search,200,0
18,1989,704,1000001444,Decorative Concrete Designs,36435 615th Ave,,Gibbon,MN,55335.0,USA,5072171189.0,,https://www.pinterest.com/pin/528821181224308142/,10032-000,Concrete Contractors,5/9/16 0:00,7/1/19 0:00,False,NR,0.0,1.0,0.0,False,Micro-small,False,7/8/22 12:28,Search,200,0
